 Date ,Open,High,Low,Close
2/8/2022,4480.02,4531.32,4465.4,4521.54
2/7/2022,4505.75,4521.86,4471.47,4483.87
2/4/2022,4482.79,4539.66,4451.5,4500.53
2/3/2022,4535.41,4542.88,4470.39,4477.44
2/2/2022,4566.39,4595.31,4544.32,4589.38
2/1/2022,4519.57,4550.49,4483.53,4546.54
1/31/2022,4431.79,4516.89,4414.02,4515.55
1/28/2022,4336.19,4432.72,4292.46,4431.85
1/27/2022,4380.58,4428.74,4309.5,4326.51
1/26/2022,4408.43,4453.23,4304.8,4349.93
1/25/2022,4366.64,4411.01,4287.11,4356.45
1/24/2022,4356.32,4417.35,4222.62,4410.13
1/21/2022,4471.38,4494.52,4395.34,4397.94
1/20/2022,4547.35,4602.11,4477.95,4482.73
1/19/2022,4588.03,4611.55,4530.2,4532.76
1/18/2022,4632.24,4632.24,4568.7,4577.11
1/14/2022,4637.99,4665.13,4614.75,4662.85
1/13/2022,4733.56,4744.13,4650.29,4659.03
1/12/2022,4728.59,4748.83,4706.71,4726.35
1/11/2022,4669.14,4714.13,4638.27,4713.07
1/10/2022,4655.34,4673.02,4582.24,4670.29
1/7/2022,4697.66,4707.95,4662.74,4677.03
1/6/2022,4693.39,4725.01,4671.26,4696.05
1/5/2022,4787.99,4797.7,4699.44,4700.58
1/4/2022,4804.51,4818.62,4774.27,4793.54
1/3/2022,4778.14,4796.64,4758.17,4796.56
12/31/2021,4775.21,4786.83,4765.75,4766.18
12/30/2021,4794.23,4808.93,4775.33,4778.73
12/29/2021,4788.64,4804.06,4778.08,4793.06
12/28/2021,4795.49,4807.02,4780.04,4786.35
12/27/2021,4733.99,4791.49,4733.99,4791.19
12/23/2021,4703.96,4740.74,4703.96,4725.79
12/22/2021,4650.36,4697.67,4645.53,4696.56
12/21/2021,4594.96,4651.14,4583.16,4649.23
12/20/2021,4587.9,4587.9,4531.1,4568.02
12/17/2021,4652.5,4666.7,4600.22,4620.64
12/16/2021,4719.13,4731.99,4651.89,4668.67
12/15/2021,4636.46,4712.6,4611.22,4709.85
12/14/2021,4642.99,4660.47,4606.52,4634.09
12/13/2021,4710.3,4710.3,4667.6,4668.97
12/10/2021,4687.64,4713.57,4670.24,4712.02
12/9/2021,4691,4695.26,4665.98,4667.45
12/8/2021,4690.86,4705.06,4674.52,4701.21
12/7/2021,4631.97,4694.04,4631.97,4686.75
12/6/2021,4548.37,4612.6,4540.51,4591.67
12/3/2021,4589.49,4608.03,4495.12,4538.43
12/2/2021,4504.73,4595.46,4504.73,4577.1
12/1/2021,4602.82,4652.94,4510.27,4513.04
11/30/2021,4640.25,4646.02,4560,4567
11/29/2021,4628.75,4672.95,4625.26,4655.27
11/26/2021,4664.63,4664.63,4585.43,4594.62
11/24/2021,4675.78,4702.87,4659.89,4701.46
11/23/2021,4678.48,4699.39,4652.66,4690.7
11/22/2021,4712,4743.83,4682.17,4682.94
11/19/2021,4708.44,4717.75,4694.22,4697.96
11/18/2021,4700.72,4708.8,4672.78,4704.54
11/17/2021,4701.5,4701.5,4684.41,4688.67
11/16/2021,4679.42,4714.95,4679.42,4700.9
11/15/2021,4689.3,4697.42,4672.86,4682.8
11/12/2021,4655.24,4688.47,4650.77,4682.85
11/11/2021,4659.39,4664.55,4648.31,4649.27
11/10/2021,4670.26,4684.85,4630.86,4646.71
11/9/2021,4707.25,4708.53,4670.87,4685.25
11/8/2021,4701.48,4714.92,4694.39,4701.7
11/5/2021,4699.26,4718.5,4681.32,4697.53
11/4/2021,4662.93,4683,4662.59,4680.06
11/3/2021,4630.65,4663.46,4621.19,4660.57
11/2/2021,4613.34,4635.15,4613.34,4630.65
11/1/2021,4610.62,4620.34,4595.06,4613.67
10/29/2021,4572.87,4608.08,4567.59,4605.38
10/28/2021,4562.84,4597.55,4562.84,4596.42
10/27/2021,4580.22,4584.57,4551.66,4551.68
10/26/2021,4578.69,4598.53,4569.17,4574.79
10/25/2021,4553.69,4572.62,4537.36,4566.48
10/22/2021,4546.12,4559.67,4524,4544.9
10/21/2021,4532.24,4551.44,4526.89,4549.78
10/20/2021,4524.42,4540.87,4524.4,4536.19
10/19/2021,4497.34,4520.4,4496.41,4519.63
10/18/2021,4463.72,4488.75,4447.47,4486.46
10/15/2021,4447.69,4475.82,4447.69,4471.37
10/14/2021,4386.75,4439.73,4386.75,4438.26
10/13/2021,4358.01,4372.87,4329.92,4363.8
10/12/2021,4368.31,4374.89,4342.09,4350.65
10/11/2021,4385.44,4415.88,4360.59,4361.19
10/8/2021,4406.51,4412.02,4386.22,4391.34
10/7/2021,4383.73,4429.97,4383.73,4399.76
10/6/2021,4319.57,4365.57,4290.49,4363.55
10/5/2021,4309.87,4369.23,4309.87,4345.72
10/4/2021,4348.84,4355.51,4278.94,4300.46
10/1/2021,4317.16,4375.19,4288.52,4357.04
9/30/2021,4370.67,4382.55,4306.24,4307.54
9/29/2021,4362.41,4385.57,4355.08,4359.46
9/28/2021,4419.54,4419.54,4346.33,4352.63
9/27/2021,4442.12,4457.3,4436.19,4443.11
9/24/2021,4438.04,4463.12,4430.27,4455.48
9/23/2021,4406.75,4465.4,4406.75,4448.98
9/22/2021,4367.43,4416.75,4367.43,4395.64
9/21/2021,4374.45,4394.87,4347.96,4354.19
9/20/2021,4402.95,4402.95,4305.91,4357.73
9/17/2021,4469.74,4471.52,4427.76,4432.99
9/16/2021,4477.09,4485.87,4443.8,4473.75
9/15/2021,4447.49,4486.87,4438.37,4480.7
9/14/2021,4479.33,4485.68,4435.46,4443.05
9/13/2021,4474.81,4492.99,4445.7,4468.73
9/10/2021,4506.92,4520.47,4457.66,4458.58
9/9/2021,4513.02,4529.9,4492.07,4493.28
9/8/2021,4518.09,4521.79,4493.95,4514.07
9/7/2021,4535.38,4535.38,4513,4520.03
9/3/2021,4532.42,4541.45,4521.3,4535.43
9/2/2021,4534.48,4545.85,4524.66,4536.95
9/1/2021,4528.8,4537.11,4522.02,4524.09
8/31/2021,4529.75,4531.39,4515.8,4522.68
8/30/2021,4513.76,4537.36,4513.76,4528.79
8/27/2021,4474.1,4513.33,4474.1,4509.37
8/26/2021,4493.75,4495.9,4468.99,4470
8/25/2021,4490.45,4501.71,4485.66,4496.19
8/24/2021,4484.4,4492.81,4482.28,4486.23
8/23/2021,4450.29,4489.88,4450.29,4479.53
8/20/2021,4410.56,4444.35,4406.8,4441.67
8/19/2021,4382.44,4418.61,4367.73,4405.8
8/18/2021,4440.94,4454.32,4397.59,4400.27
8/17/2021,4462.12,4462.12,4417.83,4448.08
8/16/2021,4461.65,4480.26,4437.66,4479.71
8/13/2021,4464.84,4468.37,4460.82,4468
8/12/2021,4446.08,4461.77,4435.96,4460.83
8/11/2021,4442.18,4449.44,4436.42,4447.7
8/10/2021,4435.79,4445.21,4430.03,4436.75
8/9/2021,4437.77,4439.39,4424.74,4432.35
8/6/2021,4429.07,4440.82,4429.07,4436.52
8/5/2021,4408.86,4429.76,4408.86,4429.1
8/4/2021,4415.95,4416.17,4400.23,4402.66
8/3/2021,4392.74,4423.79,4373,4423.15
8/2/2021,4406.86,4422.18,4384.81,4387.16
7/30/2021,4395.12,4412.25,4389.65,4395.26
7/29/2021,4403.59,4429.97,4403.59,4419.15
7/28/2021,4402.95,4415.47,4387.01,4400.64
7/27/2021,4416.38,4416.38,4372.51,4401.46
7/26/2021,4409.58,4422.73,4405.45,4422.3
7/23/2021,4381.2,4415.18,4381.2,4411.79
7/22/2021,4361.27,4369.87,4350.06,4367.48
7/21/2021,4331.13,4359.7,4331.13,4358.69
7/20/2021,4265.11,4336.84,4262.05,4323.06
7/19/2021,4296.4,4296.4,4233.13,4258.49
7/16/2021,4367.43,4375.09,4322.53,4327.16
7/15/2021,4369.02,4369.02,4340.7,4360.03
7/14/2021,4380.11,4393.68,4362.36,4374.3
7/13/2021,4381.07,4392.37,4366.92,4369.21
7/12/2021,4372.41,4386.68,4364.03,4384.63
7/9/2021,4329.38,4371.6,4329.38,4369.55
7/8/2021,4321.07,4330.88,4289.37,4320.82
7/7/2021,4351.01,4361.88,4329.79,4358.13
7/6/2021,4356.46,4356.46,4314.37,4343.54
7/2/2021,4326.6,4355.43,4326.6,4352.34
7/1/2021,4300.73,4320.66,4300.73,4319.94
6/30/2021,4290.65,4302.43,4287.96,4297.5
6/29/2021,4293.21,4300.52,4287.04,4291.8
6/28/2021,4284.9,4292.14,4274.67,4290.61
6/25/2021,4274.45,4286.12,4271.16,4280.7
6/24/2021,4256.97,4271.28,4256.97,4266.49
